episode_number,train_reward,train_loss,rewards_avg
0,-1,0.5637400150299072,-1.0
1,-1,0.7474744915962219,-1.0
2,-3,0.009758339263498783,-1.6666666666666667
3,1,3.852247953414917,-1.0
4,-3,0.6355066299438477,-1.4
5,-1,2.661015272140503,-1.3333333333333333
6,-3,2.169861316680908,-1.5714285714285714
7,5,0.7615498304367065,-0.75
8,-5,0.21017128229141235,-1.2222222222222223
9,-3,0.44218116998672485,-1.4
10,-3,0.4443344473838806,-1.6
11,-5,0.14014418423175812,-2.0
12,1,0.17676857113838196,-1.6
13,-3,0.37365996837615967,-2.0
14,-3,0.3521716594696045,-2.0
15,-5,0.2664099633693695,-2.4
16,-3,0.046489667147397995,-2.4
17,-3,0.19823485612869263,-3.2
18,-5,0.03453902527689934,-3.2
19,-3,0.14346720278263092,-3.2
20,-3,0.05010095611214638,-3.2
21,-3,0.00832817517220974,-3.0
22,-3,0.3235591948032379,-3.4
23,-5,0.32734403014183044,-3.6
24,-5,0.02322361432015896,-3.8
25,-1,0.114855095744133,-3.4
26,5,0.21016861498355865,-2.6
27,-1,0.034504570066928864,-2.4
28,-3,0.00591710489243269,-2.2
29,-3,0.026139607653021812,-2.2
30,-3,0.1861579567193985,-2.2
31,-3,0.10203112661838531,-2.2
32,-1,0.017951827496290207,-2.0
33,1,0.008788837119936943,-1.4
34,-1,0.016982531175017357,-1.0
35,-5,0.07552843540906906,-1.4
36,-5,0.0051856269128620625,-2.4
37,1,0.022762391716241837,-2.2
38,1,0.06699856370687485,-1.8
39,3,0.07002996653318405,-1.2
40,5,0.004223428200930357,-0.4
41,-1,0.0031780863646417856,-0.2
42,3,0.01535117719322443,0.2
43,5,0.00035733499680645764,0.6
44,5,0.0308595672249794,1.2
45,5,0.04994366317987442,2.2
46,5,0.06522287428379059,3.2
47,5,0.01822894625365734,3.6
48,5,0.05719694495201111,4.0
49,5,0.14538119733333588,4.2
50,5,0.003814540570601821,4.2
51,5,0.05435047671198845,4.8
52,5,0.0008921602857299149,5.0
